# Modern-Era Retrospective Analysis for Research and Applications (MERRA), version 2
# Provider;National Aeronautics and Space Administration (NASA) / Goddard Space Flight Center
# More information at;http://gmao.gsfc.nasa.gov/reanalysis/MERRA-2
# Site latitude (positive means North);30.575
# Site longitude (positive means East);78.465
# Site altitude (m);2166
# Date beginning;1990-01-01
# Date end;2020-08-31
# Time reference (hour);UT
# Summarization (period of integration);Month
# Date - Instant;The date or instant given for each value corresponds to the end of the summarization

# Columns:
# Temperature (K);Temperature at 2 m above ground
# Relative humidity (%);Relative humidity at 2 m above ground
# Pressure (hPa);Pressure at ground level
# Wind speed (m/s);Wind speed at 10 m above ground
# Wind direction (deg);Wind direction at 10 m above ground (0 means from North, 90 from East...)
# Rainfall (kg/m2);Rainfall (= rain depth in mm)
# Snowfall (kg/m2);Snowfall
# Snow depth (m);Snow depth
# Short-wave irradiation (Wh/m2);Surface incoming shortwave irradiation (broadband)

# MERRA-2 meteorological data
# Date;UT time;Temperature;Relative Humidity;Pressure;Wind speed;Wind direction;Rainfall;Snowfall;Snow depth;Short-wave irradiation
1990-01-31;24:00;281.04;37.45;801.35;0.46;310.41;1.275880;12.659486;0.004862;122082.9000
1990-02-28;24:00;279.26;56.90;799.59;0.41;184.97;140.159808;60.677064;0.007914;120105.8000
1990-03-31;24:00;281.57;51.46;800.15;0.47;185.89;59.838156;64.403748;0.007385;183289.6000
1990-04-30;24:00;288.34;31.89;797.80;1.44;276.61;7.035977;14.195981;0.001415;217773.5000
1990-05-31;24:00;293.89;34.56;797.28;1.75;244.12;27.940658;14.306674;0.000013;243541.4000
1990-06-30;24:00;296.66;35.64;794.57;2.20;243.67;126.609502;4.130510;0.000000;242565.8000
1990-07-31;24:00;293.30;78.69;794.04;1.85;231.64;429.125546;2.391334;0.000000;205720.4000
1990-08-31;24:00;292.15;84.09;797.34;1.57;218.43;768.977910;27.263610;0.000006;166183.9000
1990-09-30;24:00;290.78;83.92;798.31;1.15;232.50;280.451495;3.727249;0.000000;172514.5000
1990-10-31;24:00;285.72;60.59;801.79;0.33;241.12;4.515491;3.604352;0.000000;181886.5000
1990-11-30;24:00;283.37;39.52;802.88;0.08;318.53;3.866148;3.784673;0.000270;139237.4000
1990-12-31;24:00;279.65;40.11;802.54;0.45;108.38;87.012612;71.993268;0.000383;107083.4000
1991-01-31;24:00;277.60;37.28;800.42;0.19;267.77;5.668344;6.440155;0.001373;123486.4000
1991-02-28;24:00;280.13;42.91;801.45;0.38;178.63;71.812152;47.910780;0.000661;124808.8000
1991-03-31;24:00;284.68;33.63;800.28;0.62;210.38;16.987356;39.258900;0.000901;179243.7000
1991-04-30;24:00;288.50;27.61;799.14;0.97;232.73;23.007838;31.288694;0.000424;225115.8000
1991-05-31;24:00;294.13;21.97;798.11;1.94;262.55;6.215188;9.809266;0.000027;259142.5000
1991-06-30;24:00;294.68;41.73;795.38;1.68;244.64;18.763488;2.145578;0.000014;255917.3000
1991-07-31;24:00;295.08;59.83;794.53;1.91;234.91;204.306407;1.558837;0.000000;222520.5000
1991-08-31;24:00;292.47;80.04;795.73;1.37;232.08;480.763213;10.528067;0.000007;182837.0000
1991-09-30;24:00;290.03;76.45;798.85;1.10;248.28;121.991685;2.241903;0.000000;184441.0000
1991-10-31;24:00;285.89;47.98;800.85;0.28;277.30;0.000254;0.039814;0.000000;179083.3000
1991-11-30;24:00;281.75;38.27;802.96;0.23;277.05;1.184836;1.813305;0.000025;130730.8000
1991-12-31;24:00;279.59;45.67;801.81;0.29;296.59;68.064095;34.540909;0.001599;104537.8000
1992-01-31;24:00;278.83;47.46;802.45;0.17;336.76;74.324412;69.613488;0.002380;107028.9000
1992-02-28;24:00;278.25;44.99;798.96;0.39;254.43;42.663625;31.882331;0.008058;140981.7000
1992-03-31;24:00;283.34;40.02;800.29;0.59;245.09;48.788892;73.726884;0.001133;157221.5000
1992-04-30;24:00;289.05;25.62;800.02;1.19;236.81;4.331448;9.515491;0.000050;208386.2000
1992-05-31;24:00;292.48;25.94;797.71;1.77;253.11;40.214351;14.486209;0.000047;251538.8000
1992-06-30;24:00;295.77;29.28;795.25;2.08;248.15;10.925456;3.678401;0.000001;255853.6000
1992-07-31;24:00;293.14;69.49;795.67;1.66;225.81;419.953054;11.175746;0.000001;202589.8000
1992-08-31;24:00;292.27;83.58;796.74;1.61;225.87;423.170548;3.395972;0.000000;187453.6000
1992-09-30;24:00;290.16;76.84;798.53;1.01;216.71;203.452250;7.181590;0.000006;180697.6000
1992-10-31;24:00;286.40;50.93;801.02;0.43;241.77;0.780921;0.577383;0.000022;180825.3000
1992-11-30;24:00;283.06;41.02;803.31;0.34;252.55;30.804494;13.364086;0.000299;135791.5000
1992-12-31;24:00;280.50;32.36;803.16;0.55;296.95;1.111933;2.508619;0.000176;118396.0000
1993-01-31;24:00;277.38;45.89;800.29;0.21;271.58;36.779724;36.522864;0.010313;121321.2000
1993-02-28;24:00;281.49;39.17;800.63;0.42;241.25;64.570756;34.184012;0.003254;130923.3000
1993-03-31;24:00;281.48;48.38;800.07;0.56;223.37;55.528920;62.124048;0.007276;183900.5000
1993-04-30;24:00;288.44;36.68;799.98;1.00;264.64;15.700507;11.172452;0.002389;221282.1000
1993-05-31;24:00;294.13;27.35;797.52;1.82;257.78;14.388620;9.744293;0.000004;258931.4000
1993-06-30;24:00;294.94;44.32;795.59;1.80;239.83;108.514274;8.049262;0.000004;243817.1000
1993-07-31;24:00;293.08;77.41;794.83;1.58;213.93;611.401511;16.303489;0.000008;200810.9000
1993-08-31;24:00;292.18;77.88;795.86;1.35;247.82;158.922086;0.789970;0.000002;219725.9000
1993-09-30;24:00;289.96;79.11;798.55;0.80;235.28;393.038928;21.647592;0.000099;179790.4000
1993-10-31;24:00;285.97;51.92;802.30;0.22;307.36;0.121021;0.209035;0.000000;184426.3000
1993-11-30;24:00;283.33;43.58;802.47;0.44;321.43;0.994999;2.452050;0.000000;138347.6000
1993-12-31;24:00;280.85;31.73;802.81;0.39;330.31;0.146630;0.907307;0.000000;125795.9000
1994-01-31;24:00;278.41;49.28;800.73;0.16;40.89;61.767756;52.402644;0.006468;108379.9000
1994-02-28;24:00;278.52;48.11;799.09;0.38;213.23;40.927104;44.083296;0.008893;135660.8000
1994-03-31;24:00;285.79;34.91;800.13;1.11;283.75;11.095970;8.990003;0.001336;193498.9000
1994-04-30;24:00;286.80;40.37;799.65;0.55;237.00;44.758976;35.203360;0.002152;205494.2000
1994-05-31;24:00;294.04;26.09;798.07;1.78;252.94;27.456440;21.687268;0.000016;254904.1000
1994-06-30;24:00;296.22;36.02;794.18;1.92;237.26;171.785210;5.569582;0.000000;238445.9000
1994-07-31;24:00;293.03;84.28;794.24;1.67;221.55;707.853269;17.520811;0.000007;167834.9000
1994-08-31;24:00;292.27;87.98;796.20;1.63;214.74;830.670703;21.189017;0.000002;158196.2000
1994-09-30;24:00;290.14;74.60;798.93;0.82;230.95;218.901542;6.794374;0.000000;188518.4000
1994-10-31;24:00;285.70;58.37;802.18;0.25;251.90;1.039505;0.546609;0.000000;183166.1000
1994-11-30;24:00;282.77;47.00;803.83;0.29;261.24;0.333670;0.889584;0.000000;136354.1000
1994-12-31;24:00;279.46;40.84;802.59;0.13;244.37;14.947722;20.178205;0.000016;114682.6000
1995-01-31;24:00;275.70;46.39;801.00;0.27;80.92;64.667124;52.224768;0.019160;118866.4000
1995-02-28;24:00;278.81;50.14;799.60;0.43;180.96;48.712680;55.617120;0.010782;125009.1000
1995-03-31;24:00;283.00;45.08;800.37;0.51;210.77;32.718593;24.810559;0.005468;181604.4000
1995-04-30;24:00;288.26;35.90;799.64;1.10;241.47;14.657774;12.900510;0.000821;208074.6000
1995-05-31;24:00;294.58;24.10;797.63;1.80;240.51;9.723611;7.435379;0.000000;255723.9000
1995-06-30;24:00;296.87;32.53;794.53;2.14;248.96;38.226139;3.920933;0.000030;248409.1000
1995-07-31;24:00;293.90;72.03;794.43;1.91;229.96;483.799662;6.041538;0.000002;202523.8000
1995-08-31;24:00;291.86;87.59;795.61;1.51;209.37;822.774474;22.444686;0.000018;150549.0000
1995-09-30;24:00;290.09;78.61;798.31;0.74;224.13;278.658072;13.778352;0.000052;179245.6000
1995-10-31;24:00;286.37;61.65;801.48;0.29;263.52;2.882426;3.757684;0.000002;177762.7000
1995-11-30;24:00;282.66;43.76;801.36;0.06;238.56;1.297287;0.941305;0.000010;143183.7000
1995-12-31;24:00;279.52;44.19;802.92;0.20;289.04;2.687407;15.319080;0.000319;110952.5000
1996-01-31;24:00;277.41;44.28;800.02;0.15;226.56;80.232120;62.076852;0.009460;123713.6000
1996-02-28;24:00;280.12;49.31;800.30;0.33;204.80;75.364668;57.482352;0.008277;135265.3000
1996-03-31;24:00;284.39;48.18;798.87;0.77;271.08;42.066036;54.884376;0.005627;171353.6000
1996-04-30;24:00;289.26;31.42;799.06;1.12;244.69;12.376033;18.051120;0.000994;227086.4000
1996-05-31;24:00;292.60;32.08;797.61;1.47;249.37;12.551605;13.198651;0.000069;247645.8000
1996-06-30;24:00;294.53;54.59;796.06;1.78;227.71;206.221331;9.564073;0.000001;224576.4000
1996-07-31;24:00;293.38;76.03;794.39;1.93;237.02;296.387747;2.268289;0.000001;214449.3000
1996-08-31;24:00;291.74;87.45;796.30;1.48;216.74;705.392518;9.882122;0.000007;158806.9000
1996-09-30;24:00;290.11;81.65;797.56;0.89;234.32;290.519806;11.466626;0.000004;165888.6000
1996-10-31;24:00;285.81;62.74;800.78;0.27;262.00;27.770612;4.585205;0.000296;176191.5000
1996-11-30;24:00;282.33;44.68;801.28;0.16;316.28;0.158696;1.741624;0.000000;139371.7000
1996-12-31;24:00;280.18;34.16;802.18;0.33;337.23;0.359737;4.035953;0.000000;129274.2000
1997-01-31;24:00;277.07;41.42;800.32;0.10;276.20;41.874840;45.934344;0.006124;126534.5000
1997-02-28;24:00;278.64;39.60;798.38;0.77;270.01;15.432869;14.003784;0.002751;150121.8000
1997-03-31;24:00;283.67;42.47;800.48;0.74;241.46;42.247987;30.958697;0.001738;170319.6000
1997-04-30;24:00;286.58;48.09;799.99;0.74;221.98;34.660051;23.063897;0.005161;211964.1000
1997-05-31;24:00;290.01;41.05;798.28;1.04;254.39;34.077982;16.760318;0.000984;245221.7000
1997-06-30;24:00;293.20;56.78;795.86;1.69;249.48;61.286141;12.109903;0.000010;230712.5000
1997-07-31;24:00;293.50;77.97;794.41;1.83;240.55;419.843797;4.707803;0.000000;201028.9000
1997-08-31;24:00;291.92;83.83;796.25;1.22;220.26;553.286372;9.472468;0.000001;186390.4000
1997-09-30;24:00;290.04;77.01;799.45;1.09;251.25;128.305289;3.874147;0.000018;187997.6000
1997-10-31;24:00;284.26;69.45;803.50;0.30;176.52;98.889250;28.030262;0.000387;144047.3000
1997-11-30;24:00;281.66;57.58;802.90;0.37;152.99;67.856868;46.482480;0.002350;122113.0000
1997-12-31;24:00;277.73;55.59;801.84;0.31;88.07;39.518881;17.135363;0.013786;113340.5000
1998-01-31;24:00;277.76;46.62;800.93;0.13;302.82;12.039206;17.540053;0.003579;121174.6000
1998-02-28;24:00;279.35;52.25;800.81;0.52;185.47;68.437030;34.414646;0.003457;135055.3000
1998-03-31;24:00;282.28;46.79;800.14;0.70;257.40;45.104472;34.851564;0.007441;183286.9000
1998-04-30;24:00;289.04;39.05;800.50;0.95;259.63;19.553922;9.440183;0.000796;222807.1000
1998-05-31;24:00;293.55;32.17;798.63;1.17;256.05;18.531137;10.051560;0.000944;252944.9000
1998-06-30;24:00;295.08;43.89;795.84;1.47;238.34;159.278328;10.639476;0.000102;233797.8000
1998-07-31;24:00;293.33;83.57;794.82;1.91;232.38;603.796543;4.040777;0.000001;208364.6000
1998-08-31;24:00;292.46;87.09;796.53;1.51;226.50;484.320687;2.783793;0.000000;190024.9000
1998-09-30;24:00;291.00;80.58;799.64;0.66;227.35;205.785158;10.208902;0.000007;173595.1000
1998-10-31;24:00;287.04;67.20;800.93;0.03;70.81;229.565282;30.661978;0.002565;166492.1000
1998-11-30;24:00;283.45;51.23;802.22;0.30;5.70;12.827574;1.924420;0.000333;141489.0000
1998-12-31;24:00;280.93;40.77;802.48;0.58;339.01;0.306819;2.156075;0.000015;126015.5000
1999-01-31;24:00;277.73;52.69;799.95;0.29;106.43;48.452497;31.472543;0.004942;117732.4000
1999-02-28;24:00;281.40;47.13;802.78;0.10;147.98;15.990772;12.584448;0.003776;133320.0000
1999-03-31;24:00;285.23;31.99;798.16;1.06;270.79;3.669984;12.459038;0.000180;200856.3000
1999-04-30;24:00;291.19;15.53;798.45;1.27;261.23;0.324859;3.047271;0.000004;235652.2000
1999-05-31;24:00;294.30;24.61;796.43;1.75;241.92;38.690446;10.089914;0.000000;245220.8000
1999-06-30;24:00;294.66;45.46;795.35;1.92;239.19;72.455137;9.310871;0.000022;237123.1000
1999-07-31;24:00;294.13;68.45;793.97;1.94;231.65;345.273869;7.907587;0.000002;215199.0000
1999-08-31;24:00;292.51;75.57;795.91;1.57;233.09;393.605204;4.386676;0.000002;192454.0000
1999-09-30;24:00;291.32;75.75;798.79;1.20;240.65;171.656021;4.817059;0.000000;170793.9000
1999-10-31;24:00;286.82;48.83;800.90;0.35;271.54;8.958857;2.434286;0.000013;177882.7000
1999-11-30;24:00;283.73;30.75;802.09;0.36;285.51;0.021961;0.304136;0.000000;142217.0000
1999-12-31;24:00;280.78;23.26;802.31;0.37;277.77;0.068579;0.915994;0.000056;126760.8000
2000-01-31;24:00;278.49;39.80;800.08;0.09;168.43;31.985060;28.773076;0.005260;119686.9000
2000-02-28;24:00;277.05;45.75;798.30;0.30;195.28;49.910501;34.216027;0.010785;142211.2000
2000-03-31;24:00;283.02;30.69;798.71;0.62;237.31;4.173307;23.806138;0.001545;201835.3000
2000-04-30;24:00;290.94;19.43;797.76;1.62;267.19;3.118882;7.160771;0.000025;232434.8000
2000-05-31;24:00;295.07;32.60;797.06;2.01;255.45;13.993484;4.272473;0.000030;241301.7000
2000-06-30;24:00;294.30;56.13;794.89;2.03;239.83;450.681365;24.881875;0.000011;210932.1000
2000-07-31;24:00;293.10;78.65;794.49;1.84;219.76;610.721341;11.107739;0.000004;180148.0000
2000-08-31;24:00;292.55;80.32;795.72;1.69;244.06;310.640591;2.848525;0.000001;192730.2000
2000-09-30;24:00;290.20;69.18;798.31;1.05;258.20;39.312401;1.929955;0.000001;199894.2000
2000-10-31;24:00;288.03;37.71;800.70;0.66;276.39;0.000773;0.030504;0.000000;182038.5000
2000-11-30;24:00;283.64;35.93;801.78;0.45;261.30;1.401613;5.526425;0.000000;125137.7000
2000-12-31;24:00;281.23;21.36;801.45;0.58;295.83;6.877405;1.732067;0.000022;126131.7000
2001-01-31;24:00;278.63;31.97;799.42;0.27;268.01;13.443008;13.814010;0.003496;132391.8000
2001-02-28;24:00;281.00;29.09;799.26;0.48;250.17;18.216608;21.749620;0.000712;144723.6000
2001-03-31;24:00;284.31;25.50;799.72;0.80;214.80;21.536784;32.752296;0.000270;190537.0000
2001-04-30;24:00;288.66;35.62;799.70;0.87;254.48;46.027674;20.522538;0.001354;206522.5000
2001-05-31;24:00;293.24;39.75;796.63;1.47;253.33;67.886186;13.305190;0.000136;236666.5000
2001-06-30;24:00;292.78;71.68;794.74;1.40;228.58;277.242372;14.674032;0.000010;209596.7000
2001-07-31;24:00;292.91;85.15;794.95;1.65;221.62;731.754702;10.225458;0.000008;182066.3000
2001-08-31;24:00;292.09;85.03;796.62;1.41;229.69;327.849793;5.598371;0.000000;200711.3000
2001-09-30;24:00;289.85;69.92;799.13;0.64;259.67;28.137834;1.331902;0.000002;206111.7000
2001-10-31;24:00;286.96;55.25;801.34;0.39;298.08;6.998220;0.674150;0.000001;175528.4000
2001-11-30;24:00;283.58;38.31;803.02;0.29;316.77;0.898323;1.028979;0.000000;139748.1000
2001-12-31;24:00;280.43;36.75;803.29;0.46;324.25;12.073090;14.079175;0.000593;117023.1000
2002-01-31;24:00;277.87;44.45;800.71;0.06;84.83;58.196002;34.858526;0.006082;120130.0000
2002-02-28;24:00;279.14;51.64;802.05;0.25;114.44;86.132880;72.208404;0.024889;131524.8000
2002-03-31;24:00;284.24;42.44;800.48;0.36;273.47;44.418240;40.517424;0.007397;188413.7000
2002-04-30;24:00;290.04;31.48;799.19;1.06;258.07;16.694870;18.764431;0.001042;211697.3000
2002-05-31;24:00;294.65;26.45;796.66;1.93;267.79;6.836602;5.477400;0.000076;253558.8000
2002-06-30;24:00;295.33;43.03;795.80;1.91;253.35;82.978232;4.603396;0.000009;232645.2000
2002-07-31;24:00;295.73;47.27;794.67;2.21;254.58;24.551338;1.165126;0.000000;242820.9000
2002-08-31;24:00;292.35;80.45;796.64;1.31;224.49;556.216949;16.250011;0.000023;174206.7000
2002-09-30;24:00;289.31;75.33;799.71;0.60;219.30;192.455122;9.766778;0.000019;180649.7000
2002-10-31;24:00;286.34;56.37;801.78;0.44;277.93;30.381516;8.260632;0.000061;172348.5000
2002-11-30;24:00;283.63;39.50;802.33;0.36;293.92;2.935134;3.401788;0.000002;131712.2000
2002-12-31;24:00;280.29;32.52;801.68;0.38;304.37;3.347145;1.616218;0.000080;116499.7000
2003-01-31;24:00;279.07;32.39;802.03;0.33;298.39;53.130262;29.536934;0.002939;127098.7000
2003-02-28;24:00;279.12;49.68;800.46;0.08;323.78;128.791116;70.004628;0.018029;130987.9000
2003-03-31;24:00;283.52;45.87;800.07;0.71;254.84;45.668520;41.818788;0.004287;182743.5000
2003-04-30;24:00;290.20;31.57;799.86;1.11;244.70;28.711760;29.064064;0.000235;220121.9000
2003-05-31;24:00;292.49;24.36;797.37;1.98;260.01;14.710057;15.221473;0.000019;257288.8000
2003-06-30;24:00;295.74;39.89;794.42;2.10;253.67;64.153101;2.393943;0.000003;235723.9000
2003-07-31;24:00;293.03;80.89;796.02;1.68;215.85;931.028544;43.241976;0.000000;181249.6000
2003-08-31;24:00;292.50;85.19;796.68;1.53;223.46;434.614114;3.509126;0.000000;190188.8000
2003-09-30;24:00;290.54;81.89;798.63;0.97;228.73;279.931154;8.749966;0.000003;175914.5000
2003-10-31;24:00;286.42;54.04;802.09;0.35;292.61;0.061240;0.450468;0.000055;185234.0000
2003-11-30;24:00;282.69;43.27;802.62;0.36;313.93;5.982851;5.762333;0.000165;134895.9000
2003-12-31;24:00;279.46;48.09;802.42;0.12;17.68;10.887570;9.179104;0.002277;116177.7000
2004-01-31;24:00;277.54;52.26;800.33;0.11;77.86;75.600792;44.423208;0.017401;109839.8000
2004-02-28;24:00;280.31;42.19;800.71;0.56;320.43;0.265540;7.934828;0.015366;154422.8000
2004-03-31;24:00;287.03;28.24;800.45;0.91;280.44;0.284804;2.366146;0.000653;205568.4000
2004-04-30;24:00;291.01;30.57;798.93;1.43;252.98;94.651560;36.550008;0.000375;204297.6000
2004-05-31;24:00;293.43;32.89;796.89;2.00;266.63;15.687713;9.435632;0.000934;258073.5000
2004-06-30;24:00;293.30;58.54;795.90;1.79;255.43;186.928999;17.164865;0.000013;218897.3000
2004-07-31;24:00;292.82;76.54;794.95;1.85;248.45;339.653915;1.514557;0.000000;209516.4000
2004-08-31;24:00;291.84;84.86;796.05;1.27;221.02;563.292713;5.676127;0.000000;174112.3000
2004-09-30;24:00;290.40;70.01;799.70;0.90;258.73;178.036949;8.453239;0.000001;192703.7000
